카테고리,퀴즈,보기1,보기2,정답,힌트
기본개념,스탑로스가 필요한 이유는?,큰 손실 방지·규율,수익률 보장,1,팁!: 규칙 기반.
기본개념,평균회귀 전략의 기본은?,과도한 움직임은 되돌림,추세는 영원,1,팁!: 밴드 복귀.
기본개념,장기 분산투자의 최대 적은?,감정·타이밍 집착,분산 자체,1,팁!: 심리 관리.
기본개념,포트폴리오 리스크를 낮추려면?,상관관계 낮은 자산을 섞는다,같은 업종만 모은다,1,팁!: 상관분산 효과.
기본개념,현금흐름이 좋은데 이익이 적은 기업은?,회계·투자 단계 맥락을 함께 본다,문제없다,1,팁!: 현금과 이익의 차이.
기본개념,이익이 좋은데 현금이 부족한 기업은?,현금창출력·채권회수 점검,무시,1,팁!: 현금의 중요성.
배당,배당수익률이 업계 평균보다 높다면?,배당 매력이 높을 수 있다,배당이 부족하다,1,팁!: 다만 재무 건전성도 함께 확인.
배당,배당성향이 30~60%라면 보통?,안정적인 배당 범위,과도한 배당,1,팁!: 무리 없는 환원.
배당,배당성향이 100%를 넘는다면?,이익 이상으로 배당한다,배당을 거의 하지 않는다,1,팁!: 지속성 우려.
배당,배당락일 다음 날 주가가 하락하는 이유는?,배당 권리 분리로 조정,배당락과 무관,1,팁!: 권리 제거 반영.
배당,미국 기업의 일반적 배당 주기는?,분기배당,연 1회 배당,1,"팁!: 미국=분기, 한국=연 1회 많음."
배당,배당귀족주란 무엇일까요?,25년 이상 배당을 늘린 기업,배당을 전혀 안 하는 기업,1,팁!: 장기 배당 성장.
배당,배당킹은 무엇을 의미하나요?,50년 이상 배당 인상,분기마다 배당 지급,1,팁!: 더 긴 역사.
배당,특별배당은 어떤 성격일까요?,일회성 보너스 성격,정기적 배당,1,팁!: 지속성과 별개.
배당,배당성장주가 선호되는 이유는?,현금흐름과 배당의 꾸준한 성장,성장성 부재,1,팁!: 총주주수익률 관점.
배당,무배당 기업이 많은 업종의 예시는?,IT·바이오 등 성장 산업,유틸리티 등 안정 업종,1,팁!: 재투자 선호.
배당,배당 발표가 주가에 주는 긍정 신호는?,현금흐름 자신감 표시,성장 포기,1,팁!: 예측 가능성.
배당,자사주 매입과 배당의 공통점은?,주주환원 정책,신규 상장 절차,1,팁!: 현금의 돌아가는 길.
배당,배당 재투자(DRIP)의 장점은?,복리 효과,수익률 하락,1,팁!: 자동 적립.
배당,고배당주 투자 시 주의할 점은?,지속 가능성·현금흐름 점검,수익률만 본다,1,팁!: 함정 피하기.
배당,배당컷(감배) 공시는 보통?,부정적 신호,호재 신호,1,팁!: 현금흐름 압박.
배당,배당 안정성이 높은 업종은?,유틸리티·필수소비재,고성장 초기 산업,1,팁!: 현금흐름 예측 용이.
배당,배당 수익률이 매우 높은데 주가가 계속 하락 중이면?,함정일 수 있으니 원인 점검,매력 확정,1,팁!: 분자/분모 효과.
배당,배당락 이후 빠르게 회복되는 경우는?,펀더멘털이 견조할 때,항상 회복 없음,1,팁!: 본질 가치.
배당,중간배당의 의미는?,회계연도 중간에 지급,연말에만 지급,1,팁!: 일정상의 차이.
배당,연말 배당 성향 확대 발표는?,주주친화 신호,리스크 확대 신호,1,팁!: 정책 변화.
배당,현금 배당 대신 자사주 소각을 택하는 이유는?,주당가치 개선 기대,현금 유출만 증가,1,팁!: 장기 효과.
배당,특별배당이 반복되면?,정책 신뢰성↑ 가능,의미 없음,1,팁!: 현금여력 신호.
배당,배당 공시에서 확인할 핵심은?,금액·지급일·기준일,시가총액 변화,1,팁!: 권리·스케줄.
배당,달러 배당을 받는 해외주식의 환율 영향은?,환율 오르면 원화 환산 배당↑ 가능,영향 없음,1,팁!: 환산 효과.
배당,배당수익률이 낮아도 선호될 수 있는 경우는?,성장·안정성 등 총수익 관점,항상 비선호,1,팁!: 배당+주가상승.
배당,배당 정책의 일관성이 중요한 이유는?,예측 가능성과 신뢰,변동성 확대 목적,1,팁!: 투자자 기대 관리.
배당,현금흐름이 불안정한 기업의 고배당은?,지속성 의심,안정성 높음,1,팁!: 재무 안전판 확인.
배당,배당 성장률(DGR)을 볼 때 포인트는?,장기 추세·지속성,단기 급등만,1,팁!: 누적 성장.
배당,배당 투자에서 세후 수익률이 중요한 이유는?,실제 손에 쥐는 수익,의미 없음,1,팁!: 세금 차감 후.
배당,배당주와 채권형 자산의 공통점은?,현금흐름을 제공,만기 구조 동일,1,팁!: 인컴 소스.
배당,배당컷 이후의 역발상 접근은?,체질 개선·현금흐름 회복 확인,아무 확인 없이 매수,1,팁!: 회복 신호 필요.
배당,배당 캘린더를 활용하는 이유는?,권리·지급 일정 관리,시가총액 계산,1,팁!: 스케줄링.
배당,배당주식(주식배당)의 특징은?,현금 대신 주식으로 지급,현금만 지급,1,팁!: 유통주식 변화.
배당,배당을 꾸준히 늘려온 기업의 평판은?,주주친화적,성장 포기,1,팁!: 정책 일관성.
배당,배당성향을 낮추는 정책 전환은?,투자확대·성장전략 신호 가능,악재 확정,1,팁!: 자본배분 변화.
배당,현금성 자산 대비 배당 규모를 보는 이유는?,지급 여력 확인,주가 추세 확인,1,팁!: 현금 안전판.
배당,배당 공시의 기준일이 중요한 이유는?,권리 확보일 결정,세후 수익률 결정,1,팁!: 누가 받는지 결정.
배당,해외 배당주의 원천징수세는?,세후 수익률에 영향,영향 없음,1,팁!: 더블택스 고려.
배당,분기배당은 투자자에게 어떤 장점?,현금흐름의 안정적 분산,수익률 하락,1,팁!: 현금 흐름 관리.
배당,배당주 ETF의 장점은?,분산된 배당 포트폴리오,개별 리스크 집중,1,팁!: 인컴 분산.
배당,배당성향이 낮은 성장주의 장점은?,재투자 여력,현금 낭비,1,팁!: 성장 투자.
배당,고배당주의 금리 민감도는?,상대적으로 높다,항상 낮다,1,팁!: 대체재로서 채권과 경쟁.
배당,배당을 줄이고 자사주 매입을 늘리는 전략은?,세금 효율·유연성 고려,항상 악재,1,팁!: 환원 수단 믹스.
배당,배당 투자에서 경기 사이클을 보는 이유는?,현금흐름 변동 파악,PER 산출,1,팁!: 업황·현금창출력.
배당,배당 투자 시 환율 전망을 보는 이유는?,환산 수익률 영향,추세 판단,1,팁!: 통화 효과.
배당,배당 재원은 보통 어디서 나오나요?,순이익과 현금흐름,시가총액 자체,1,팁!: 잉여현금.
배당,배당 공시에서 DPS(주당배당금)를 보는 이유는?,단위당 현금 흐름 확인,PER 계산,1,팁!: 주당 기준.
배당,배당 수익률만 보고 투자하면 안 되는 이유는?,주가 하락·지속성 등 변수,세금 때문만은 아님,1,팁!: 총수익 관점.
배당,장기 배당 투자에서 재투자의 의미는?,복리 성장을 키운다,세금만 늘린다,1,팁!: compounding.
배당,배당과 이자소득의 차이는?,기업 이익 분배 vs 채권 이자,둘 다 동일,1,팁!: 자본/채무 차이.
심리/매크로,금리 인상이 이어지면 어떤 스타일이 상대적으로 불리할까요?,성장주,가치주,1,팁!: 할인율↑ → 미래이익 비중 큰 성장주 부담.
심리/매크로,금리 인하가 시작되면 상대적으로 유리한 쪽은?,성장주,가치주,1,팁!: 할인율↓로 성장주 밸류 완화.
심리/매크로,달러 강세가 이어지면 보통 유리한 쪽은?,수출기업,수입기업,1,팁!: 환산 이익 vs 원가 부담.
심리/매크로,국제 유가 급등 시 수혜 가능성이 큰 업종은?,석유·가스,항공,1,팁!: 원자재 생산업 수혜.
심리/매크로,금 가격 급등 시 상대적으로 수혜를 볼 수 있는 산업은?,금광업,항공,1,팁!: 상품 가격 연동.
심리/매크로,CPI가 예상보다 높게 나오면 시장은 보통?,긴축 우려로 압박,성장 기대로 급등,1,팁!: 인플레→금리 인상 우려.
심리/매크로,고용지표가 크게 호조면?,경기 견조 vs 긴축 우려로 변동성↑,반드시 강세,1,팁!: 좋은 뉴스=나쁜 뉴스 역설.
심리/매크로,경기침체 우려가 커질 때 선호되는 업종은?,방어주(필수소비재·유틸리티),고베타 성장주,1,팁!: 변동성 완화.
심리/매크로,경기 회복 기대가 커질 때 선호되는 업종은?,경기민감주·산업재,방어주,1,팁!: 수요 회복 수혜.
심리/매크로,원자재 가격이 전반적으로 하락하면?,제조업 마진 개선 가능,원자재 생산업만 수혜,1,팁!: 투입비용 하락.
심리/매크로,달러 약세가 이어지면 유리한 쪽은?,수입기업,수출기업,1,팁!: 수입 원가 부담 완화.
심리/매크로,위험회피 심리가 강해질 때 자금이 이동하는 곳은?,채권·현금 등 안전자산,고위험 테마주,1,팁!: 리스크오프.
심리/매크로,리스크온 분위기에서는 자금이 어디로?,주식·원자재 등 위험자산,현금으로만 이동,1,팁!: 위험선호 확대.
심리/매크로,중앙은행의 매파적 발언은 보통?,긴축 강화 신호,완화 강화 신호,1,팁!: 금리↑·유동성 축소.
심리/매크로,중앙은행의 비둘기파적 발언은 보통?,완화 강화 신호,긴축 강화 신호,1,팁!: 금리↓·유동성 확대.
심리/매크로,전쟁·지정학 리스크 확대는?,변동성↑·위험회피 심리,리스크온 강화,1,팁!: 불확실성 쇼크.
심리/매크로,천재지변·대규모 재해 뉴스는?,생산 차질·수요 위축 가능,금리 인하 확정,1,팁!: 공급/수요 충격.
심리/매크로,소비자 신뢰지수가 급락하면?,소비 둔화 우려,소비 급증 확정,1,팁!: 심리 지표.
심리/매크로,제조업 PMI가 50 아래로 내려가면?,경기 위축 신호,경기 확장 신호,1,팁!: 기준선 50.
심리/매크로,실질금리가 급등하면 성장주엔?,부담 확대,호재 확대,1,팁!: 할인율+인플레 조정.
심리/매크로,테이퍼링(자산매입 축소)은?,유동성 축소 신호,유동성 확대 신호,1,팁!: 완화 축소.
심리/매크로,QE(양적완화) 확대는?,유동성 공급 확대,긴축 강화,1,팁!: 자산매입 확대.
심리/매크로,원화 강세가 지속되면?,수입 기업 원가 부담 완화,수출기업 환산 이익↑,1,팁!: 통화 효과.
심리/매크로,달러 인덱스가 급락하면?,위험선호 확대 가능,항상 위험회피 강화,1,팁!: 글로벌 유동성 변화.
심리/매크로,장단기 금리 역전은 보통 무엇의 경고?,경기 침체 가능성,경기 과열 확정,1,팁!: 역사적 신호.
심리/매크로,원자재 슈퍼사이클 기대가 커지면?,자원개발·장비 수혜,항상 항공 수혜,1,팁!: 투자 사이클.
심리/매크로,임금 상승 압력이 커지면?,인플레·마진 압박 우려,디플레 심화,1,팁!: 비용 측면.
심리/매크로,주택 시장 침체가 심화되면?,가구·건자재 수요 위축,항상 IT 호황,1,팁!: 연관 산업.
심리/매크로,여행 수요 급증 뉴스는?,항공·호텔 수혜,정유만 수혜,1,팁!: 소비 회복.
심리/매크로,공포·탐욕 지수(심리지표)가 극단으로 치우치면?,역발상 신호 가능,추세 영원,1,팁!: 과열/공포 경계.
투자지표,원가 절감으로 마진이 개선됐을 때 확인할 점은?,지속 가능한 구조인지,일회성인지 무시,1,팁!: 구조적 개선 vs 일회성.
투자지표,해외 매출 비중이 높은 기업의 환율 리스크 관리는?,헤지·가격전가 확인,주가 차트만 확인,1,팁!: 통화 노출 관리.
투자지표,고객 집중도가 매우 높을 때 위험은?,특정 고객 이탈 리스크,항상 수익성 개선,1,팁!: 매출 편중.
투자지표,공급계약 단가 인상에 성공했다면?,마진 개선 기대,매출 감소 확정,1,팁!: 프라이싱 파워.
투자지표,서비스형 비즈니스 전환의 재무적 이점은?,반복 매출·마진 개선,일회성 매출만 증가,1,팁!: 구독/소프트웨어 모델.
투자지표,설비 노후화가 심한 기업의 우려는?,유지보수·CAPEX 부담,부채비율 자동 하락,1,팁!: 투자 필요성.
시장상식,국가 신용등급 강등 뉴스는?,차입비용↑·투자심리 악화,유동성 확대,1,팁!: 국가 리스크 프리미엄.
시장상식,수출 규제 강화 뉴스는?,공급 차질·원가↑ 우려,수요 급증 확정,1,팁!: 무역 장벽.
시장상식,최저임금 큰 폭 인상 뉴스는?,인건비 부담↑·마진 압박,원가 하락,1,팁!: 비용 측면 영향.
